date,unix_timestamp,tempreature,humidity,hour,day_of_week,month,year,tempreature_lag1,humidity_lag1,N,Fan_actuator,Watering_plant_pump,Water_pump_actuator,water_level,time_difference_minutes
2023-11-27 06:46:00,1701067560,28,73,6,0,11,2023,28.0,75.0,185,1,0,0,100,5.0
2023-11-27 06:56:00,1701068160,28,73,6,0,11,2023,28.0,75.0,185,1,0,0,100,5.0
2023-11-27 07:01:00,1701068460,28,72,7,0,11,2023,28.0,74.0,185,1,0,0,100,5.0
2023-11-27 07:06:00,1701068760,27,71,7,0,11,2023,28.0,72.0,185,1,0,0,100,5.0
2023-11-27 07:11:00,1701069060,26,71,7,0,11,2023,27.0,71.0,185,1,0,0,100,5.0
2023-11-27 07:16:00,1701069360,26,69,7,0,11,2023,26.0,71.0,185,1,0,0,100,5.0
2023-11-27 07:21:00,1701069660,25,71,7,0,11,2023,26.0,69.0,185,1,0,0,100,5.0
2023-11-27 07:26:00,1701069960,25,72,7,0,11,2023,25.0,71.0,185,1,0,0,100,5.0
2023-11-27 07:31:00,1701070260,24,70,7,0,11,2023,25.0,72.0,185,1,0,0,100,5.0
2023-11-27 07:36:00,1701070560,24,70,7,0,11,2023,24.0,70.0,185,1,0,0,100,5.0
2023-11-27 07:41:00,1701070860,24,69,7,0,11,2023,24.0,70.0,185,1,0,0,100,5.0
2023-11-27 07:46:00,1701071160,23,70,7,0,11,2023,24.0,69.0,185,1,0,0,100,5.0
2023-11-27 07:51:00,1701071460,23,68,7,0,11,2023,23.0,70.0,185,1,0,0,100,5.0
2023-11-27 07:56:00,1701071760,23,67,7,0,11,2023,23.0,68.0,185,1,0,0,100,5.0
2023-11-27 08:01:00,1701072060,23,66,8,0,11,2023,23.0,67.0,185,1,0,0,100,5.0
2023-11-27 08:06:00,1701072360,23,69,8,0,11,2023,23.0,66.0,185,1,0,0,100,5.0
2023-11-27 08:11:00,1701072660,23,66,8,0,11,2023,23.0,69.0,185,1,0,0,100,5.0
2023-11-27 08:16:00,1701072960,22,68,8,0,11,2023,23.0,66.0,185,0,0,0,100,5.0
2023-11-27 08:21:00,1701073260,22,66,8,0,11,2023,22.0,68.0,185,0,0,0,100,5.0
2023-11-27 08:26:00,1701073560,22,67,8,0,11,2023,22.0,66.0,185,0,0,0,100,5.0
2023-11-27 08:31:00,1701073860,22,68,8,0,11,2023,22.0,67.0,185,0,0,0,100,5.0
2023-11-27 08:36:00,1701074160,21,68,8,0,11,2023,22.0,68.0,185,0,0,0,100,5.0
2023-11-27 08:41:00,1701074460,21,68,8,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 08:46:00,1701074760,21,66,8,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 08:51:00,1701075060,21,68,8,0,11,2023,21.0,66.0,185,0,0,0,100,5.0
2023-11-27 08:56:00,1701075360,21,68,8,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 09:01:00,1701075660,21,68,9,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 09:06:00,1701075960,21,68,9,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 09:11:00,1701076260,21,67,9,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 09:16:00,1701076560,21,66,9,0,11,2023,21.0,67.0,185,0,0,0,100,5.0
2023-11-27 09:21:00,1701076860,21,67,9,0,11,2023,21.0,66.0,185,0,0,0,100,5.0
2023-11-27 09:26:00,1701077160,21,68,9,0,11,2023,21.0,67.0,185,0,0,0,100,5.0
2023-11-27 09:31:00,1701077460,21,69,9,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 09:36:00,1701077760,21,68,9,0,11,2023,21.0,69.0,185,0,0,0,100,5.0
2023-11-27 09:41:00,1701078060,21,67,9,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 09:46:00,1701078360,21,69,9,0,11,2023,21.0,67.0,185,0,0,0,100,5.0
2023-11-27 09:51:00,1701078660,21,68,9,0,11,2023,21.0,69.0,185,0,0,0,100,5.0
2023-11-27 09:56:00,1701078960,21,69,9,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 10:01:00,1701079260,21,68,10,0,11,2023,21.0,69.0,185,0,0,0,100,5.0
2023-11-27 10:06:00,1701079560,21,68,10,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 10:11:00,1701079860,21,67,10,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 10:16:00,1701080160,21,68,10,0,11,2023,21.0,67.0,185,0,0,0,100,5.0
2023-11-27 10:21:00,1701080460,21,69,10,0,11,2023,21.0,68.0,185,0,0,0,100,5.0
2023-11-27 10:26:00,1701080760,21,69,10,0,11,2023,21.0,69.0,185,0,0,0,100,5.0
2023-11-27 10:31:00,1701081060,20,70,10,0,11,2023,21.0,69.0,185,0,0,0,100,5.0
2023-11-27 10:36:00,1701081360,22,68,10,0,11,2023,20.0,70.0,185,0,0,0,100,5.0
